ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9994094,HY184470,03/13/2015 10:00:00 PM,048XX N BELL AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2031,020,47,4,06,1160514,1932400,2015,03/20/2015 12:42:30 PM,41.970206768,-87.685161236,"(41.970206768, -87.685161236)"
9993916,HY184055,03/13/2015 10:00:00 PM,025XX N LONG AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2515,025,30,19,06,1139921,1916131,2015,03/20/2015 12:42:30 PM,41.925965621,-87.761282845,"(41.925965621, -87.761282845)"
9993630,HY183623,03/13/2015 10:00:00 PM,036XX W DIVERSEY AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,2524,025,35,22,08A,1151273,1918325,2015,03/20/2015 12:42:30 PM,41.931770747,-87.719511712,"(41.931770747, -87.719511712)"
9993994,HY184188,03/13/2015 10:00:00 PM,060XX S AUSTIN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0812,008,23,64,11,1137388,1864045,2015,03/20/2015 12:42:30 PM,41.78308004,-87.771842067,"(41.78308004, -87.771842067)"
9993661,HY183483,03/13/2015 09:56:00 PM,010XX N MONTICELLO AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,1112,011,27,23,08B,1151820,1906543,2015,03/20/2015 12:42:30 PM,41.899429114,-87.7178123,"(41.899429114, -87.7178123)"
9993548,HY183495,03/13/2015 09:55:00 PM,009XX E 54TH PL,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0233,002,5,41,03,1183690,1869235,2015,03/20/2015 12:42:30 PM,41.796366726,-87.601922429,"(41.796366726, -87.601922429)"
9993507,HY183507,03/13/2015 09:51:00 PM,067XX S WINCHESTER AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,false,false,0726,007,15,67,15,1164567,1859638,2015,03/20/2015 12:42:30 PM,41.770456403,-87.672318457,"(41.770456403, -87.672318457)"
9993520,HY183481,03/13/2015 09:49:00 PM,041XX N ELSTON AVE,0460,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,false,false,1723,017,39,16,08B,1150611,1926897,2015,03/20/2015 12:42:30 PM,41.955305971,-87.72171971,"(41.955305971, -87.72171971)"
9994034,HY184298,03/13/2015 09:49:00 PM,031XX S MORGAN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0913,009,11,60,08B,1170190,1884238,2015,03/20/2015 12:42:30 PM,41.837841007,-87.650990901,"(41.837841007, -87.650990901)"
9993499,HY183501,03/13/2015 09:45:00 PM,007XX E 82ND ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,0631,006,6,44,04B,1182807,1850836,2015,03/20/2015 12:42:30 PM,41.745898671,-87.605731219,"(41.745898671, -87.605731219)"
9993537,HY183498,03/13/2015 09:45:00 PM,052XX W DEMING PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2515,025,31,19,14,1141094,1916426,2015,03/20/2015 12:42:30 PM,41.926753577,-87.756965299,"(41.926753577, -87.756965299)"
9993477,HY183485,03/13/2015 09:45:00 PM,025XX S WASHTENAW AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),true,false,1034,010,12,30,18,1158730,1887008,2015,03/20/2015 12:42:30 PM,41.84568432,-87.692967164,"(41.84568432, -87.692967164)"
9993549,HY183542,03/13/2015 09:45:00 PM,052XX S KIMBARK AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0234,002,4,41,03,1185597,1870652,2015,03/20/2015 12:42:30 PM,41.800210345,-87.594884763,"(41.800210345, -87.594884763)"
9993483,HY183489,03/13/2015 09:45:00 PM,101XX S AVENUE N,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,0432,004,10,52,18,1201203,1838104,2015,03/20/2015 12:42:30 PM,41.710514493,-87.538756632,"(41.710514493, -87.538756632)"
9993515,HY183492,03/13/2015 09:45:00 PM,033XX S MORGAN ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0913,009,11,60,03,1170145,1882914,2015,03/20/2015 12:42:30 PM,41.83420881,-87.651194608,"(41.83420881, -87.651194608)"
9993489,HY183474,03/13/2015 09:45:00 PM,052XX S KIMBARK AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,0234,002,4,41,03,1185508,1870882,2015,03/20/2015 12:42:30 PM,41.80084358,-87.595203905,"(41.80084358, -87.595203905)"
10002011,HY191543,03/13/2015 09:42:00 PM,036XX W 81ST PL,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,0834,,18,70,26,,,2015,03/20/2015 12:42:30 PM,,,
9993531,HY183477,03/13/2015 09:41:00 PM,016XX N ELSTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,false,false,1433,014,32,24,14,1166883,1910785,2015,03/20/2015 12:42:30 PM,41.910759554,-87.662364267,"(41.910759554, -87.662364267)"
9993699,HY183506,03/13/2015 09:40:00 PM,072XX S ROCKWELL ST,031A,ROBBERY,ARMED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),false,false,0831,008,18,66,03,1160257,1856434,2015,03/20/2015 12:42:30 PM,41.761753972,-87.688205376,"(41.761753972, -87.688205376)"
